id,full_text
1435583299158740993,see gerrin narcisse jimmie cheek work dawn dusk day help folks community guy incredible heart inspiration stpgov lalege louisiana 
1434601578426683393,one day figure stuff work right want nap itshot fanlife generatorran ida neworleans itsbeenaweek 
1436422739087302662,ida relay info purpose 
1434980594639855619,five members state congressional delegation complain ebr parishes leave blue roof program ask revise criteria ida 
1435365946223329283,many republicans still believe climatechange hoax gop ida impeachbiden bidenmustresign bidenisafailure bidendisaster democratsareadisaster 
1435005400915525634,among homeless houma hurricaneida strike reporter keziaasetyawan write story tessie theriot lot question like suppose live suppose afford move another place houmatoday 
1435404706000605188,lanationalguard troop excite see new orleanian return brighten everyone day dryadesymca nolaready hurricaneida ida 
1435329631364599813,normally september birthday party know know someone birthday month really good tip affect areas mail ida nolatwitter idaaftermath louisiana louisianastrong 
1434846925199663108,ida know happen something big nyc prospectpark 
1434473952441774080,us coast guard say clean crew respond sizable oil spill gulf mexico follow hurricaneida private team divers set descend underwater locate source leak 
1435600873342783492,check people enough 
1434645902501765126,att nola dj att agree att show true color throughout whole hurricane ida hurricane hurricaneida switch coxcomm everyone know coxcommunications never lose service hurricaneida aftermath boycottatt 
1434863488246165508,runners press mobile challenge champion wake hurricaneida arthur mack amp 
1435638113762791424,energy issue eleventh public situation report hurricane ida access report 
1434570133171675142,food professional break heart see much food etc rush hurricaneida recovery zone yet many still without help heavy lift one last long time robertirvine mercychefs wckitchen chefjoseandres 
1435729479729565704,approximately oil production natural gas production gulfofmexico remain shut hurricaneida make landfall louisiana week ago bsee say wednesday icis oott 
1434942704476213250,cvpayne aftermath one storm severe weather roll gulf state today laborers help across state line need thank gratitude hurricaneida friends power back nola section 
1437076076287643659,crowley man involve drug traffic conspiracy sentence years prison louisiana crime 
1435169720685240327,hurricaneida leave trail devastation fox team publix redcross help care force make monetary donation local publix help families need 
1434596746617925639,fox nola rt kelseydavisnews detail free fuel giveaway terrebonneparish happen several days several locations week fox nola tohsep hurricaneida 
1434935006393208836,avegno think necessarily expect first day go facilities get people quickly stay last person get bus pm hurricaneida 
1436001513915232257,currently volunteer sc deploy support ongoing relief efforts hurricaneida help people affect disasters make gift disaster relief visit call red cross text redcross donate 
1435360438624169984,town live impact ef tornado recently remnants hurricaneida home farm destroy little black circle grocery store liam walk often street home red line path tornado 
1435732227682447361,irs provide tax relief extend upcoming october deadline date january victims hurricane ida hurricaneida 
1434678937381130247,many hurricaneida peep whip dvd player yet 
1434935956453343235,northshore pizza dough blob grow enormous proportion overtake dumpster post ida ida hotandhumid louisiana nola pizza pizzarat 
1435012810090688513,publicstorage need communication facilities new orleans need know access units storm recovery equipment unit hurricaneida collect rent units deny access 
1436722244613459968,stephen f austin vs texas tech ttu memphis vs arkansas st memphis nicholls vs louisiana louisiana new mexico st vs new mexico nmu austin peay vs ole miss olemiss georgia st vs unc unc missouri vs kentucky kentucky idaho vs indiana indiana 
1436047040149065733,votefreddieking son lead way direct food distribution mcdonalds gen degaulle today weareallin letsgeaux nolastrong ida neworleans 
1436018470882357253,also two flats water donate need take hurricaneida disasterrelief blackout fema communityaid 
1434522473228378114,im proud neighbor turn pool resources learn bbq hurricaneida 
1435212621289074692,entergy thank state linemen help restore power safely quickly utilities hurricaneida 
1434499176952434690,little bite home 
1436392336431276032,september president biden tour new jersey new york survey damage storm ida link climate change say people begin realize much much bigger anyone will believe biden ida 
